Months (Yearwise),Apnea,Asthma,Edema,Fatigue,Fibrosis,Hypertension,Obesity,Acidosis,Hyperglycemia,Hyperhomocysteinemia,Esophagitis,Hypercholesterolemia
2016-01,22,44,22,46,21,29,24,6,3,0,2,1
2016-02,24,49,26,52,24,32,29,7,4,0,3,1
2016-03,23,48,27,53,23,33,30,8,4,0,3,1
2016-04,25,49,29,53,24,32,32,8,4,0,3,1
2016-05,23,46,28,51,24,30,28,8,4,0,3,1
2016-06,22,43,28,50,20,28,23,7,3,0,3,1
2016-07,22,40,25,46,18,25,19,6,3,0,3,1
2016-08,23,42,25,47,18,26,19,6,3,0,3,1
2016-09,23,46,28,50,28,30,24,7,4,0,3,1
2016-10,23,47,29,48,22,30,27,8,4,0,3,1
2016-11,23,53,26,47,22,32,28,7,4,0,3,1
2016-12,21,45,23,43,20,27,21,6,3,0,2,1
